category,order,brand,file,source_url,asset_type,changes,original_master,notes,sha256
customers,1,Jaguar Land Rover (JLR),customers/jaguar-land-rover.svg,https://www.jlr.com/themes/custom/jlr_corporate_2024/images/logos/logo-black-2025.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania. Korporátna značka JLR, nie samostatné logo Jaguar a logo Land Rover.",7a43120eec3eea60e95d3d3e0ab7104bcbb270dd1510a31568d7c80534c0986b
customers,2,Slovnaft,customers/slovnaft.svg,https://slovnaftbajk.sk/media/logo/footer-slovnaft.svg,official project SVG,none,,Hotový SVG zo stránky projektu Slovnaft BAjk.,44c5dda03ee9916988d14965f01e0fa3e304b85ec486f687cd88e323c06c82e3
customers,3,Orange Slovensko,customers/orange-slovensko.svg,https://www.orange.sk/,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,32503388feb6a2a66800c6d50602f10354013ce9e6563261edff7409bb9ea41d
customers,4,Slovak Telekom,customers/slovak-telekom.svg,https://www.telekom.sk,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,1b8d507317479e58c6903f96b0d0752867b64035507004baa6fc8cad37671fe1
customers,5,Foxconn,customers/foxconn.svg,https://image.honhai.com/upload/global/logo-en-us_202311301025578760108.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",31f0c1eef039106c2640e734cf46903daebb58dac38d110dce5ae02a2330940e
customers,6,Tesco,customers/tesco.svg,https://www.tescoplc.com/media/svnf5ixc/tesco-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",0d965a914d5b3d0fc4cbd2b3111ad872db4bd5bf078e5c9df9a2e632f3ce15a4
customers,7,IKEA,customers/ikea.svg,https://www.ikea.com/global/assets/logos/brand/ikea.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",e4f93deb71f7099a91265abfe4d4e09447fb4c098f5a3f2af235d2109c345d83
customers,8,DHL,customers/dhl.svg,https://www.dhl.com/content/dam/dhl/global/core/images/logos/dhl-logo.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",328777be6ed92ae88755009a974a1283abf795957a3df244576ed70f5de4e9c3
customers,9,OMV,customers/omv.svg,https://www.omv.com/assets/img/logos/omv-logo-blue.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",88a10ed47463f2d368cac9c81ec46a0a0ce43cf782f9e6d84395ad1cf7b6423f
customers,10,Bosch,customers/bosch.svg,https://www.bosch.com,official inline SVG,standalone extraction only,,SVG vybraté z oficiálnej stránky; pôvodné cesty zachované. Samostatné SVG používa predvolené farby pre currentColor a nezdedí externé CSS stránky.,be4625a60064808020fb5a36b57920f1754358265a7984832caf8ce26b970eab
customers,11,Mühlbauer,customers/muhlbauer.svg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Muehlbauer_logo.svg,archived SVG copy,none,,Nezmenená verejná archívna kópia; zdrojová stránka odkazuje na súbor výrobcu. https://commons.wikimedia.org/wiki/File:Muehlbauer_logo.svg ; pôvodný zdroj: http://www.muehlbauer.de/bausteine.net/file/showfile.aspx?downdaid=13606&sp=E&domid=1016&fd=2,5a0a4134775c49ca1a80e4f26a8cad105431e783fb991d21f2b275301a31ea7f
customers,12,Allianz,customers/allianz.svg,https://www.allianz.sk/content/dam/onemarketing/cee/azsk/pictures/logo/Allianz_logo_Allianz_svg.svg,official SVG,none,,"Pôvodný súbor, bez prefarbenia, bez zmeny tvarov a bez orezania.",99fddd8a57d11a008a98df49e65c02678c8648c8c6180ed797e53cb0b61ada38
customers,13,Marel,customers/marel.svg,https://ptc-p-001.sitecorecontenthub.cloud/api/public/content/01114c441d6944fea5330896ad3c6bcf?v=ace1ba44,partner-published SVG,none,,Pôvodný hotový SVG zo stránky technologického partnera PTC: https://www.ptc.com/de/industries/industrials/servitization,edfc94222d2c01a1d3e1df609efb43adf854cf1b2396a3b53dbe7e3e3c5c14a1
customers,14,Nitriansky samosprávny kraj,customers/nitriansky-samospravny-kraj.svg,https://www.unsk.sk/Files/ShowFile/23157,official EPS + vector format conversion,EPS to PDF to SVG; no tracing or recoloring,customers/masters/nitriansky-samospravny-kraj.eps,Pôvodný Farebny_erb-text_horizontalne.eps z oficiálnej sekcie https://www.unsk.sk/zobraz/sekciu/loga-nsk . SVG vzniklo iba zmenou vektorového formátu. Text je už v origináli v krivkách.,cf616bbce31fb5c34aaa5faeb1eb7a5b7d3d89e823365deee494d2318991bc66
